Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Recycling_parsed,Cooking_With_parsed
obese,male,vegetarian,more frequently,coal,walk/bicycle,None,sometimes,94,very frequently,96,large,1,10,21,12,Sometimes,"['Plastic', 'Glass', 'Metal']",['Stove'],2782,"['Plastic', 'Glass', 'Metal']",['Stove']
overweight,female,vegetarian,less frequently,coal,walk/bicycle,None,often,98,never,50,large,7,7,29,17,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],1809,"['Plastic', 'Glass', 'Metal']",['Microwave']
underweight,female,pescatarian,less frequently,electricity,private,petrol,often,184,very frequently,1614,small,3,6,48,24,Yes,"['Plastic', 'Glass']",['Stove'],2612,"['Plastic', 'Glass']",['Stove']
obese,female,pescatarian,more frequently,electricity,public,None,often,286,frequently,601,extra large,5,9,45,18,Sometimes,['Glass'],"['Stove', 'Grill', 'Airfryer']",2866,['Glass'],"['Stove', 'Grill', 'Airfryer']"
underweight,female,pescatarian,twice a day,wood,private,lpg,sometimes,243,rarely,4215,large,4,14,45,9,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2578,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,pescatarian,twice a day,electricity,public,None,often,91,rarely,1890,medium,6,15,6,14,No,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1322,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
normal,male,vegan,daily,electricity,public,None,often,92,very frequently,909,medium,1,15,26,3,Sometimes,['Glass'],"['Stove', 'Grill', 'Airfryer']",2249,['Glass'],"['Stove', 'Grill', 'Airfryer']"
overweight,male,vegetarian,more frequently,wood,public,None,often,230,very frequently,1046,medium,5,4,31,11,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",3301,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']"
underweight,male,vegetarian,more frequently,electricity,public,None,never,105,very frequently,1394,large,7,18,13,20,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2599,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']"
normal,male,omnivore,more frequently,natural gas,walk/bicycle,None,never,205,very frequently,15,large,6,15,40,12,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2741,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
normal,female,pescatarian,twice a day,natural gas,private,lpg,never,133,never,6127,small,7,6,34,16,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",2467,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']"
underweight,female,omnivore,less frequently,coal,walk/bicycle,None,often,151,never,98,medium,4,12,46,2,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",1579,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']"
obese,male,pescatarian,twice a day,natural gas,public,None,sometimes,57,never,1372,large,7,10,50,19,Yes,"['Glass', 'Metal']","['Grill', 'Airfryer']",2456,"['Glass', 'Metal']","['Grill', 'Airfryer']"
normal,female,vegetarian,twice a day,electricity,public,None,never,251,very frequently,1978,large,7,17,0,4,Sometimes,"['Plastic', 'Glass']",['Oven'],2161,"['Plastic', 'Glass']",['Oven']
obese,female,vegetarian,less frequently,electricity,public,None,sometimes,113,never,1108,extra large,7,21,12,4,Yes,['Glass'],['Oven'],1565,['Glass'],['Oven']
obese,male,vegetarian,daily,wood,public,None,often,138,rarely,1957,extra large,2,2,37,24,No,"['Plastic', 'Glass', 'Metal']",['Oven'],2271,"['Plastic', 'Glass', 'Metal']",['Oven']
overweight,male,pescatarian,twice a day,natural gas,public,None,sometimes,79,very frequently,3,extra large,2,23,42,13,No,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",3439,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
obese,male,omnivore,less frequently,electricity,public,None,often,64,frequently,415,medium,6,19,48,4,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2573,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
normal,female,pescatarian,less frequently,natural gas,public,None,never,291,rarely,1818,large,4,13,23,9,Yes,['Plastic'],"['Stove', 'Microwave']",1544,['Plastic'],"['Stove', 'Microwave']"
normal,female,vegetarian,less frequently,wood,public,None,never,148,never,639,small,7,22,12,22,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",791,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']"
overweight,female,vegan,daily,coal,public,None,never,275,rarely,388,large,3,15,3,6,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1264,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']"
overweight,female,omnivore,twice a day,natural gas,public,None,often,289,frequently,804,extra large,7,14,38,7,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",3011,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']"
obese,male,omnivore,daily,natural gas,private,diesel,sometimes,84,never,4084,medium,3,24,45,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],2780,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven']
underweight,female,pescatarian,twice a day,electricity,walk/bicycle,None,never,244,rarely,30,extra large,2,6,23,23,Sometimes,[],"['Oven', 'Microwave']",1273,[],"['Oven', 'Microwave']"
underweight,female,vegan,less frequently,coal,public,None,often,64,rarely,1488,small,3,14,18,18,No,['Paper'],['Microwave'],1332,['Paper'],['Microwave']
normal,male,vegetarian,less frequently,natural gas,public,None,never,179,rarely,447,large,5,8,12,12,Yes,[],['Microwave'],1594,[],['Microwave']
normal,female,pescatarian,more frequently,natural gas,public,None,never,263,rarely,1476,extra large,7,18,46,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",2322,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']"
obese,female,pescatarian,daily,coal,public,None,sometimes,268,never,1368,small,4,0,15,1,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",1410,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']"
overweight,female,omnivore,more frequently,coal,walk/bicycle,None,sometimes,128,very frequently,8,extra large,1,9,49,10,No,[],['Stove'],3159,[],['Stove']
normal,male,omnivore,more frequently,electricity,public,None,sometimes,101,never,1227,large,2,17,22,19,Yes,"['Plastic', 'Glass']",['Oven'],1159,"['Plastic', 'Glass']",['Oven']
underweight,male,vegetarian,daily,wood,public,None,often,63,frequently,1597,extra large,7,4,50,3,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",2970,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']"
normal,male,vegetarian,twice a day,natural gas,public,None,never,66,never,574,extra large,7,11,28,21,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1711,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']"
obese,female,vegetarian,twice a day,electricity,walk/bicycle,None,never,51,frequently,19,small,1,8,17,1,Yes,[],['Oven'],1211,[],['Oven']
normal,male,vegetarian,more frequently,natural gas,walk/bicycle,None,never,222,frequently,73,medium,2,11,9,1,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1514,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
underweight,male,vegetarian,more frequently,wood,public,None,often,116,frequently,338,medium,1,1,20,17,No,['Paper'],['Microwave'],1649,['Paper'],['Microwave']
underweight,female,vegetarian,less frequently,electricity,public,None,never,245,never,1527,medium,1,15,30,9,Sometimes,['Paper'],['Oven'],789,['Paper'],['Oven']
normal,male,vegetarian,daily,coal,walk/bicycle,None,often,81,never,95,medium,5,4,2,1,No,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1280,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,vegetarian,less frequently,coal,walk/bicycle,None,never,173,never,69,medium,5,20,23,0,Sometimes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",1182,['Paper'],"['Microwave', 'Grill', 'Airfryer']"
overweight,male,vegan,twice a day,wood,private,lpg,sometimes,260,rarely,2266,large,3,10,44,12,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2727,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,male,omnivore,more frequently,natural gas,public,None,sometimes,251,never,885,extra large,7,19,15,3,Yes,"['Paper', 'Plastic']",['Oven'],2299,"['Paper', 'Plastic']",['Oven']
normal,male,pescatarian,daily,electricity,walk/bicycle,None,sometimes,129,rarely,56,medium,5,11,13,2,No,['Plastic'],['Stove'],1174,['Plastic'],['Stove']
underweight,female,pescatarian,daily,coal,public,None,sometimes,71,rarely,1370,small,6,3,42,21,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1507,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
obese,male,vegetarian,daily,natural gas,walk/bicycle,None,sometimes,264,very frequently,42,extra large,5,17,33,17,Sometimes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4158,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,male,pescatarian,less frequently,electricity,walk/bicycle,None,never,281,never,5,extra large,1,11,31,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",1107,"['Paper', 'Metal']","['Grill', 'Airfryer']"
overweight,male,pescatarian,less frequently,electricity,walk/bicycle,None,often,128,frequently,13,extra large,2,13,30,0,Sometimes,['Glass'],"['Oven', 'Microwave']",2048,['Glass'],"['Oven', 'Microwave']"
underweight,female,omnivore,less frequently,natural gas,private,hybrid,never,125,rarely,3849,small,7,14,7,6,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",1423,"['Glass', 'Metal']","['Oven', 'Microwave']"
overweight,female,vegetarian,twice a day,natural gas,walk/bicycle,None,sometimes,130,very frequently,50,extra large,7,1,50,11,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3191,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,pescatarian,daily,coal,walk/bicycle,None,often,212,frequently,50,small,4,14,20,2,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1846,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
normal,female,pescatarian,daily,electricity,walk/bicycle,None,often,270,very frequently,3,extra large,7,5,6,23,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2399,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,omnivore,less frequently,electricity,private,diesel,sometimes,220,rarely,9445,large,3,20,17,10,Sometimes,['Plastic'],['Oven'],3582,['Plastic'],['Oven']
overweight,female,pescatarian,twice a day,electricity,private,diesel,often,210,very frequently,4197,small,2,16,48,16,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3538,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
normal,female,omnivore,more frequently,coal,public,None,often,209,never,600,small,6,3,21,2,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1622,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,male,omnivore,daily,electricity,private,hybrid,sometimes,53,rarely,1720,large,1,10,24,19,No,"['Glass', 'Metal']",['Stove'],1387,"['Glass', 'Metal']",['Stove']
overweight,male,omnivore,more frequently,electricity,public,None,sometimes,73,very frequently,1890,medium,3,5,5,12,Sometimes,"['Paper', 'Glass']",['Oven'],2262,"['Paper', 'Glass']",['Oven']
overweight,male,pescatarian,twice a day,wood,private,petrol,often,53,very frequently,601,small,4,15,30,3,Sometimes,"['Paper', 'Glass', 'Metal']",['Microwave'],2729,"['Paper', 'Glass', 'Metal']",['Microwave']
overweight,female,omnivore,less frequently,wood,private,electric,never,53,very frequently,6894,small,7,0,15,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2026,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
normal,female,vegetarian,twice a day,coal,public,None,sometimes,132,frequently,636,large,4,12,14,17,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1802,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
overweight,female,omnivore,daily,electricity,public,None,often,212,very frequently,1201,extra large,2,23,36,9,Sometimes,['Glass'],"['Oven', 'Grill', 'Airfryer']",2761,['Glass'],"['Oven', 'Grill', 'Airfryer']"
normal,male,omnivore,less frequently,wood,walk/bicycle,None,never,240,rarely,48,small,3,10,13,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",976,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
overweight,male,vegan,more frequently,electricity,private,electric,sometimes,183,very frequently,5442,large,3,9,20,20,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2522,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']"
overweight,male,vegetarian,more frequently,wood,public,None,never,295,frequently,236,extra large,4,8,39,5,Yes,"['Paper', 'Plastic', 'Glass']",[],2457,"['Paper', 'Plastic', 'Glass']",[]
overweight,female,pescatarian,less frequently,coal,private,lpg,sometimes,222,very frequently,3388,large,3,16,22,20,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3559,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
normal,male,omnivore,more frequently,electricity,public,None,often,102,frequently,1084,large,2,22,10,13,Sometimes,"['Plastic', 'Glass', 'Metal']",[],1472,"['Plastic', 'Glass', 'Metal']",[]
obese,female,omnivore,less frequently,coal,walk/bicycle,None,never,295,very frequently,95,large,2,24,28,9,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3060,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,omnivore,less frequently,coal,private,diesel,often,120,never,5698,medium,1,17,28,0,Sometimes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2790,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
normal,male,pescatarian,twice a day,coal,public,None,often,56,rarely,780,medium,7,14,14,5,Sometimes,['Glass'],"['Stove', 'Microwave']",1916,['Glass'],"['Stove', 'Microwave']"
underweight,male,vegan,daily,coal,walk/bicycle,None,never,134,very frequently,2,extra large,2,21,50,17,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2809,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
underweight,male,pescatarian,twice a day,coal,walk/bicycle,None,often,111,rarely,75,small,6,22,33,1,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",1696,"['Paper', 'Glass']","['Oven', 'Microwave']"
normal,male,pescatarian,more frequently,wood,public,None,sometimes,282,never,495,small,3,24,47,23,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1648,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
underweight,female,vegan,twice a day,wood,walk/bicycle,None,often,186,rarely,95,medium,2,19,28,8,Sometimes,['Paper'],"['Stove', 'Oven']",1208,['Paper'],"['Stove', 'Oven']"
obese,female,vegan,daily,electricity,walk/bicycle,None,sometimes,59,very frequently,43,small,1,0,38,19,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",2439,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']"
obese,female,pescatarian,more frequently,natural gas,private,hybrid,never,191,frequently,6716,large,3,7,6,21,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2999,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']"
underweight,male,pescatarian,twice a day,natural gas,public,None,never,299,never,1840,large,6,23,23,2,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1471,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
obese,male,omnivore,less frequently,coal,public,None,sometimes,55,frequently,1386,medium,5,21,29,3,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2471,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
normal,male,pescatarian,less frequently,electricity,private,diesel,sometimes,179,very frequently,3717,medium,5,10,5,6,No,"['Paper', 'Plastic', 'Metal']",['Microwave'],2899,"['Paper', 'Plastic', 'Metal']",['Microwave']
underweight,male,vegan,less frequently,electricity,walk/bicycle,None,often,71,very frequently,71,large,1,20,38,0,Sometimes,"['Plastic', 'Metal']",['Stove'],2163,"['Plastic', 'Metal']",['Stove']
overweight,female,omnivore,twice a day,wood,walk/bicycle,None,never,79,rarely,46,extra large,1,21,21,16,Sometimes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1182,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
overweight,female,vegetarian,daily,natural gas,walk/bicycle,None,sometimes,162,frequently,85,extra large,7,11,43,2,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2897,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,pescatarian,twice a day,electricity,private,hybrid,often,292,frequently,3745,extra large,1,5,23,18,Yes,['Plastic'],[],2056,['Plastic'],[]
normal,female,vegetarian,daily,coal,walk/bicycle,None,often,161,very frequently,78,extra large,7,16,16,4,Sometimes,['Plastic'],"['Grill', 'Airfryer']",3026,['Plastic'],"['Grill', 'Airfryer']"
normal,male,pescatarian,less frequently,natural gas,public,None,never,218,rarely,1046,large,1,18,12,2,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",1084,"['Paper', 'Glass']","['Stove', 'Oven']"
underweight,male,pescatarian,daily,natural gas,private,diesel,often,54,frequently,9915,large,5,11,12,16,No,"['Paper', 'Metal']",[],4122,"['Paper', 'Metal']",[]
normal,male,omnivore,daily,coal,private,diesel,sometimes,232,never,1181,large,3,2,18,7,No,['Plastic'],['Oven'],1888,['Plastic'],['Oven']
overweight,male,vegan,more frequently,natural gas,private,lpg,never,194,frequently,4044,large,2,10,6,22,Sometimes,['Paper'],"['Stove', 'Grill', 'Airfryer']",2960,['Paper'],"['Stove', 'Grill', 'Airfryer']"
obese,male,vegetarian,daily,natural gas,walk/bicycle,None,sometimes,91,rarely,1,medium,7,19,24,9,Sometimes,"['Paper', 'Plastic', 'Glass']",['Oven'],1761,"['Paper', 'Plastic', 'Glass']",['Oven']
overweight,male,omnivore,twice a day,wood,public,None,sometimes,105,very frequently,983,medium,3,9,28,14,No,['Metal'],"['Stove', 'Microwave']",3168,['Metal'],"['Stove', 'Microwave']"
normal,female,vegetarian,daily,electricity,private,electric,often,158,never,5151,small,7,8,43,16,Sometimes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",980,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
underweight,male,vegetarian,daily,wood,public,None,sometimes,72,rarely,810,medium,7,20,26,7,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1557,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,vegetarian,less frequently,natural gas,private,electric,sometimes,153,rarely,5711,extra large,4,10,48,5,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1523,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,omnivore,daily,coal,private,hybrid,sometimes,125,frequently,4670,small,6,5,7,6,Yes,['Glass'],[],2551,['Glass'],[]
underweight,female,pescatarian,daily,coal,private,hybrid,often,52,rarely,6862,extra large,7,10,49,17,No,"['Plastic', 'Glass']",[],3198,"['Plastic', 'Glass']",[]
obese,female,vegan,less frequently,coal,private,petrol,often,137,rarely,8095,medium,4,14,30,18,No,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",4960,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']"
overweight,female,vegan,more frequently,wood,walk/bicycle,None,never,74,very frequently,18,large,4,1,45,13,Sometimes,['Paper'],[],2735,['Paper'],[]
normal,female,vegan,more frequently,electricity,public,None,never,80,very frequently,1780,small,2,13,8,1,No,"['Plastic', 'Glass', 'Metal']",[],1581,"['Plastic', 'Glass', 'Metal']",[]
overweight,male,vegan,less frequently,natural gas,private,diesel,never,232,never,2764,small,1,16,39,15,Yes,"['Plastic', 'Metal']",['Oven'],1998,"['Plastic', 'Metal']",['Oven']
obese,female,pescatarian,less frequently,electricity,private,hybrid,often,120,never,2061,extra large,4,12,14,17,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1734,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']"
underweight,male,omnivore,less frequently,natural gas,private,electric,never,268,very frequently,8886,extra large,3,8,13,9,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",2797,['Plastic'],"['Microwave', 'Grill', 'Airfryer']"
underweight,female,vegan,daily,coal,private,lpg,often,151,rarely,1703,large,7,2,46,2,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2409,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegan,less frequently,coal,public,None,sometimes,257,very frequently,1479,small,5,5,6,2,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",2429,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']"
underweight,male,omnivore,more frequently,wood,public,None,often,242,frequently,1751,large,6,6,4,10,No,"['Glass', 'Metal']","['Grill', 'Airfryer']",2389,"['Glass', 'Metal']","['Grill', 'Airfryer']"
overweight,male,vegetarian,less frequently,coal,walk/bicycle,None,often,249,rarely,58,small,3,10,46,23,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1906,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
underweight,female,pescatarian,daily,electricity,walk/bicycle,None,never,68,very frequently,6,medium,2,8,12,1,No,['Plastic'],['Microwave'],1550,['Plastic'],['Microwave']
overweight,female,vegan,more frequently,coal,walk/bicycle,None,sometimes,152,never,64,small,6,7,1,7,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",875,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
underweight,female,vegetarian,more frequently,coal,private,lpg,often,216,never,543,small,7,4,34,9,Sometimes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1574,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
overweight,female,omnivore,more frequently,coal,walk/bicycle,None,never,246,rarely,20,large,3,11,12,22,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven']",1870,"['Plastic', 'Glass']","['Stove', 'Oven']"
overweight,female,omnivore,more frequently,electricity,walk/bicycle,None,often,163,very frequently,67,medium,3,23,6,2,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2123,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,pescatarian,daily,coal,walk/bicycle,None,never,61,very frequently,52,small,5,17,11,21,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",1937,"['Paper', 'Glass']","['Oven', 'Microwave']"
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,None,sometimes,247,never,59,extra large,4,4,27,7,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1332,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
underweight,female,vegan,daily,natural gas,private,hybrid,never,160,never,7896,medium,3,13,6,5,No,"['Paper', 'Glass', 'Metal']",[],1559,"['Paper', 'Glass', 'Metal']",[]
overweight,male,vegan,twice a day,electricity,walk/bicycle,None,never,238,frequently,78,medium,3,3,2,9,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1042,"['Paper', 'Plastic', 'Glass', 'Metal']",[]
overweight,male,vegan,twice a day,coal,private,lpg,never,140,rarely,5270,extra large,1,6,33,15,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3307,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']"
overweight,male,omnivore,less frequently,coal,private,petrol,never,281,frequently,1312,medium,2,6,5,23,Yes,"['Paper', 'Plastic', 'Glass']",[],2544,"['Paper', 'Plastic', 'Glass']",[]
obese,female,vegetarian,less frequently,wood,public,None,never,268,rarely,848,large,6,24,50,10,Sometimes,['Plastic'],['Stove'],2384,['Plastic'],['Stove']
normal,female,vegetarian,daily,natural gas,public,None,never,292,frequently,718,small,4,16,49,0,Sometimes,"['Plastic', 'Glass']",[],1843,"['Plastic', 'Glass']",[]
overweight,female,vegetarian,more frequently,coal,private,electric,sometimes,97,frequently,8798,extra large,6,6,8,23,Yes,"['Plastic', 'Glass']",['Microwave'],2161,"['Plastic', 'Glass']",['Microwave']
obese,male,vegetarian,less frequently,coal,public,None,never,180,never,575,extra large,3,12,9,8,No,"['Paper', 'Plastic', 'Glass']",['Oven'],1517,"['Paper', 'Plastic', 'Glass']",['Oven']
overweight,male,omnivore,twice a day,electricity,public,None,sometimes,243,rarely,1838,large,2,3,16,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1324,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']"
obese,female,pescatarian,twice a day,coal,public,None,sometimes,64,never,1279,medium,6,4,7,15,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1348,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
obese,female,vegan,less frequently,electricity,private,petrol,never,145,never,9313,large,3,16,21,2,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",4257,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
obese,female,vegan,more frequently,electricity,walk/bicycle,None,often,193,very frequently,41,small,2,22,46,20,No,['Plastic'],[],3037,['Plastic'],[]
overweight,female,vegan,twice a day,natural gas,public,None,never,140,never,1282,small,5,10,26,11,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1069,"['Paper', 'Plastic']","['Grill', 'Airfryer']"
